From	Entry	Gene.Names..primary.	ENTREZID
O15321	O15321	TM9SF1	10548
O15347	O15347	HMGB3	3149
O15355	O15355	PPM1G	5496
O15357	O15357	INPPL1	3636
O15371	O15371	EIF3D	8664
O15372	O15372	EIF3H	8667
O15379	O15379	HDAC3	8841
O15382	O15382	BCAT2	587
O15397	O15397	IPO8	10526
O15400	O15400	STX7	8417
O15438	O15438	ABCC3	8714
O15439	O15439	ABCC4	10257
O15446	O15446	POLR1G	10849
O15455	O15455	TLR3	7098
O15460	O15460	P4HA2	8974
O15484	O15484	CAPN5	726
O15488	O15488	GYG2	8908
O15498	O15498	YKT6	10652
O15511	O15511	ARPC5	10092
O15514	O15514	POLR2D	5433
O15523	O15523	DDX3Y	8653
O15530	O15530	PDPK1	5170
O15533	O15533	TAPBP	6892
O15541	O15541	RNF113A	7737
O15551	O15551	CLDN3	1365
O43143	O43143	DHX15	1665
O43147	O43147	SGSM2	9905
O43148	O43148	RNMT	8731
O43149	O43149	ZZEF1	23140
O43155	O43155	FLRT2	23768
O43156	O43156	TTI1	9675
O43157	O43157	PLXNB1	5364
O43164	O43164	PJA2	9867
O43166	O43166	SIPA1L1	26037
O43169	O43169	CYB5B	80777
O43172	O43172	PRPF4	9128
O43173	O43173	ST8SIA3	51046
O43175	O43175	PHGDH	26227
O43181	O43181	NDUFS4	4724
O43189	O43189	PHF1	5252
O43237	O43237	DYNC1LI2	1783
O43240	O43240	KLK10	5655
O43242	O43242	PSMD3	5709
O43251	O43251	RBFOX2	23543
O43252	O43252	PAPSS1	9061
O43264	O43264	ZW10	9183
O43290	O43290	SART1	9092
O43291	O43291	SPINT2	10653
O43292	O43292	GPAA1	8733
O43294	O43294	TGFB1I1	7041
O43299	O43299	AP5Z1	9907
O43301	O43301	HSPA12A	259217
O43306	O43306	ADCY6	112
O43310	O43310	CTIF	9811
O43314	O43314	PPIP5K2	23262
O43324	O43324	EEF1E1	9521
O43347	O43347	MSI1	4440
O43390	O43390	HNRNPR	10236
O43395	O43395	PRPF3	9129
O43396	O43396	TXNL1	9352
O43399	O43399	TPD52L2	7165
O43402	O43402	EMC8	10328
O43426	O43426	SYNJ1	8867
O43427	O43427	FIBP	9158
O43432	O43432	EIF4G3	8672
O43464	O43464	HTRA2	27429
O43488	O43488	AKR7A2	8574
O43491	O43491	EPB41L2	2037
O43493	O43493	TGOLN2	10618
O43504	O43504	LAMTOR5	10542
O43505	O43505	B4GAT1	11041
O43548	O43548	TGM5	9333
O43567	O43567	RNF13	11342
O43570	O43570	CA12	771
O43572	O43572	AKAP10	11216
O43581	O43581	SYT7	9066
O43583	O43583	DENR	8562
O43592	O43592	XPOT	11260
O43598	O43598	DNPH1	10591
O43602	O43602	DCX	1641
O43615	O43615	TIMM44	10469
O43617	O43617	TRAPPC3	27095
O43633	O43633	CHMP2A	27243
O43639	O43639	NCK2	8440
O43660	O43660	PLRG1	5356
O43665	O43665	RGS10	6001
O43670	O43670	ZNF207	7756
O43674	O43674	NDUFB5	4711
O43676	O43676	NDUFB3	4709
O43678	O43678	NDUFA2	4695
O43681	O43681	GET3	439
O43684	O43684	BUB3	9184
O43707	O43707	ACTN4	81
O43716	O43716	GATC	283459
O43719	O43719	HTATSF1	27336
O43741	O43741	PRKAB2	5565
O43747	O43747	AP1G1	164
O43752	O43752	STX6	10228
O43759	O43759	SYNGR1	9145
O43760	O43760	SYNGR2	9144
O43761	O43761	SYNGR3	9143
O43765	O43765	SGTA	6449
O43768	O43768	ENSA	2029
O43772	O43772	SLC25A20	788
O43776	O43776	NARS1	4677
O43795	O43795	MYO1B	4430
O43809	O43809	NUDT21	11051
O43813	O43813	LANCL1	10314
O43815	O43815	STRN	6801
O43818	O43818	RRP9	9136
O43819	O43819	SCO2	9997
O43822	O43822	CFAP410	755
O43823	O43823	AKAP8	10270
O43826	O43826	SLC37A4	2542
O43837	O43837	IDH3B	3420
O43847	O43847	NRDC	4898
O43852	O43852	CALU	813
O43854	O43854	EDIL3	10085
O43865	O43865	AHCYL1	10768
O43903	O43903	GAS2	2620
O43913	O43913	ORC5	5001
O43920	O43920	NDUFS5	4725
O43929	O43929	ORC4	5000
O43933	O43933	PEX1	5189
O60216	O60216	RAD21	5885
O60220	O60220	TIMM8A	1678
O60231	O60231	DHX16	8449
O60232	O60232	ZNRD2	10534
O60238	O60238	BNIP3L	665
O60239	O60239	SH3BP5	9467
O60243	O60243	HS6ST1	9394
O60244	O60244	MED14	9282
O60245	O60245	PCDH7	5099
O60256	O60256	PRPSAP2	5636
O60262	O60262	GNG7	2788
O60264	O60264	SMARCA5	8467
O60268	O60268	KIAA0513	9764
O60271	O60271	SPAG9	9043
O60282	O60282	KIF5C	3800
O60287	O60287	URB1	9875
O60291	O60291	MGRN1	23295
O60292	O60292	SIPA1L3	23094
O60306	O60306	AQR	9716
O60313	O60313	OPA1	4976
O60318	O60318	MCM3AP	8888
O60331	O60331	PIP5K1C	23396
O60333	O60333	KIF1B	23095
O60336	O60336	MAPKBP1	23005
O60341	O60341	KDM1A	23028
O60343	O60343	TBC1D4	9882
O60437	O60437	PPL	5493
O60476	O60476	MAN1A2	10905
O60488	O60488	ACSL4	2182
O60493	O60493	SNX3	8724
O60502	O60502	OGA	10724
O60504	O60504	SORBS3	10174
O60506	O60506	SYNCRIP	10492
O60508	O60508	CDC40	51362
O60512	O60512	B4GALT3	8703
O60513	O60513	B4GALT4	8702
O60518	O60518	RANBP6	26953
O60524	O60524	NEMF	9147
O60547	O60547	GMDS	2762
O60563	O60563	CCNT1	904
O60568	O60568	PLOD3	8985
O60573	O60573	EIF4E2	9470
O60583	O60583	CCNT2	905
O60610	O60610	DIAPH1	1729
O60613	O60613	SELENOF	9403
O60637	O60637	TSPAN3	10099
